Term	P_rho	P_pval	C_rho	C_pval	RLIPP
NEST	1.000e+00	0.000e+00	9.927e-01	8.402e-94	1.007e+00
NEST:6	7.115e-01	5.233e-17	6.983e-01	3.420e-16	1.019e+00
NEST:58	4.054e-01	2.372e-05	4.078e-01	2.102e-05	9.942e-01
NEST:73	5.303e-01	9.939e-09	5.441e-01	3.403e-09	9.745e-01
NEST:3	8.394e-01	3.133e-28	7.825e-01	2.671e-22	1.073e+00
NEST:32	4.008e-01	2.982e-05	2.509e-01	1.098e-02	1.598e+00
NEST:4	7.228e-01	9.784e-18	7.421e-01	4.500e-19	9.740e-01
NEST:1	9.107e-01	3.503e-40	8.296e-01	4.640e-27	1.098e+00
NEST:7	2.204e-01	2.605e-02	2.826e-01	4.010e-03	7.799e-01
NEST:50	5.838e-01	1.192e-10	6.183e-01	4.377e-12	9.442e-01
NEST:15	7.159e-01	2.766e-17	6.675e-01	1.828e-14	1.072e+00
NEST:10	6.165e-01	5.257e-12	6.331e-01	9.401e-13	9.739e-01
NEST:92	1.496e-01	1.334e-01	9.262e-02	3.545e-01	1.615e+00
NEST:9	4.610e-01	1.084e-06	4.828e-01	2.762e-07	9.548e-01
NEST:30	4.284e-01	7.079e-06	3.770e-01	9.411e-05	1.136e+00
NEST:79	3.233e-01	9.186e-04	4.215e-01	1.023e-05	7.669e-01
NEST:98	3.023e-01	2.017e-03	1.705e-01	8.670e-02	1.773e+00
NEST:5	3.166e-01	1.187e-03	2.992e-01	2.255e-03	1.058e+00
NEST:108	1.463e-01	1.422e-01	2.871e-01	3.436e-03	5.097e-01
NEST:102	3.280e-01	7.632e-04	3.965e-01	3.695e-05	8.273e-01
NEST:110	3.338e-01	6.069e-04	3.394e-01	4.835e-04	9.835e-01
NEST:107	5.417e-01	4.123e-09	3.577e-01	2.229e-04	1.514e+00
NEST:53	4.070e-01	2.186e-05	3.638e-01	1.707e-04	1.119e+00
NEST:65	5.800e-01	1.682e-10	4.028e-01	2.697e-05	1.440e+00
NEST:91	5.460e-01	2.928e-09	4.523e-01	1.824e-06	1.207e+00
NEST:8	4.996e-01	9.023e-08	4.701e-01	6.202e-07	1.063e+00
NEST:130	3.072e-01	1.686e-03	3.144e-01	1.288e-03	9.769e-01
NEST:38	6.039e-01	1.820e-11	4.845e-01	2.478e-07	1.247e+00
