Term	P_rho	P_pval	C_rho	C_pval	RLIPP
NEST:21	2.386e-01	1.709e-05	3.735e-01	5.794e-12	6.388e-01
NEST:70	8.750e-02	1.194e-01	1.909e-01	6.200e-04	4.583e-01
NEST:13	3.901e-01	5.323e-13	3.511e-01	1.174e-10	1.111e+00
NEST:256	2.239e-01	5.603e-05	2.362e-01	2.083e-05	9.481e-01
NEST:33	3.462e-01	2.212e-10	3.782e-01	2.964e-12	9.152e-01
NEST:47	3.756e-01	4.294e-12	4.033e-01	7.175e-14	9.313e-01
NEST:48	1.579e-01	4.754e-03	1.498e-01	7.457e-03	1.054e+00
NEST:63	1.560e-01	5.312e-03	1.690e-01	2.491e-03	9.227e-01
NEST:84	2.616e-01	2.250e-06	2.178e-01	9.045e-05	1.201e+00
NEST:202	1.306e-01	1.986e-02	1.904e-01	6.438e-04	6.858e-01
NEST:43	1.046e-01	6.254e-02	1.552e-01	5.560e-03	6.740e-01
NEST:51	2.861e-01	2.097e-07	2.706e-01	9.671e-07	1.057e+00
NEST:57	3.157e-01	8.670e-09	4.650e-01	1.816e-18	6.788e-01
NEST:82	3.514e-01	1.128e-10	3.472e-01	1.940e-10	1.012e+00
NEST:83	3.947e-01	2.659e-13	3.895e-01	5.770e-13	1.013e+00
NEST:165	2.435e-01	1.122e-05	1.765e-01	1.576e-03	1.380e+00
NEST:186	-6.286e-02	2.637e-01	4.438e-02	4.303e-01	-1.416e+00
NEST:193	1.085e-01	5.320e-02	1.214e-01	3.040e-02	8.937e-01
NEST:199	1.756e-01	1.664e-03	1.839e-01	9.840e-04	9.550e-01
NEST:293	2.809e-01	3.537e-07	3.167e-01	7.750e-09	8.871e-01
NEST:94	1.480e-01	8.217e-03	-8.553e-02	1.280e-01	-1.730e+00
NEST:97	4.161e-02	4.596e-01	4.342e-02	4.403e-01	9.583e-01
NEST:27	5.882e-02	2.957e-01	1.273e-01	2.321e-02	4.622e-01
NEST:158	2.325e-01	2.819e-05	2.385e-01	1.726e-05	9.751e-01
NEST:134	1.018e-02	8.564e-01	1.013e-01	7.119e-02	1.005e-01
NEST:42	1.900e-01	6.587e-04	2.549e-01	4.152e-06	7.455e-01
NEST:93	2.654e-01	1.584e-06	2.950e-01	8.371e-08	8.998e-01
NEST:35	2.270e-01	4.415e-05	3.386e-01	5.710e-10	6.703e-01
NEST:39	2.033e-01	2.623e-04	3.462e-02	5.385e-01	5.873e+00
NEST:11	1.951e-01	4.668e-04	1.229e-01	2.847e-02	1.588e+00
NEST:78	1.040e-01	6.387e-02	1.747e-01	1.769e-03	5.957e-01
NEST:24	5.129e-02	3.620e-01	6.733e-02	2.312e-01	7.617e-01
NEST:196	1.059e-01	5.936e-02	2.543e-01	4.371e-06	4.162e-01
NEST:163	2.190e-01	8.219e-05	2.419e-01	1.286e-05	9.052e-01
NEST:54	1.397e-01	1.263e-02	1.537e-01	6.019e-03	9.090e-01
NEST:277	1.666e-01	2.886e-03	9.526e-02	8.990e-02	1.749e+00
NEST:59	2.440e-01	1.083e-05	2.043e-01	2.456e-04	1.194e+00
NEST:125	1.978e-01	3.873e-04	1.756e-01	1.668e-03	1.126e+00
NEST:231	9.771e-02	8.192e-02	1.487e-01	7.890e-03	6.569e-01
NEST:80	1.029e-01	6.692e-02	1.482e-01	8.139e-03	6.944e-01
NEST	1.000e+00	0.000e+00	9.881e-01	9.854e-121	1.012e+00
NEST:6	6.924e-01	1.905e-22	7.163e-01	1.386e-24	9.666e-01
NEST:58	4.809e-01	6.138e-10	4.799e-01	6.748e-10	1.002e+00
NEST:73	4.798e-01	6.822e-10	4.999e-01	9.854e-11	9.597e-01
NEST:3	8.910e-01	6.183e-52	8.626e-01	4.811e-45	1.033e+00
NEST:32	4.878e-01	3.215e-10	2.536e-01	1.868e-03	1.923e+00
NEST:4	8.057e-01	5.032e-35	7.864e-01	2.403e-32	1.025e+00
NEST:1	9.405e-01	2.468e-70	9.138e-01	5.418e-59	1.029e+00
NEST:7	3.875e-01	1.139e-06	4.716e-01	1.446e-09	8.217e-01
NEST:50	5.595e-01	1.457e-13	5.748e-01	2.187e-14	9.733e-01
NEST:15	7.164e-01	1.365e-24	6.785e-01	2.688e-21	1.056e+00
NEST:10	6.312e-01	8.056e-18	6.286e-01	1.191e-17	1.004e+00
NEST:92	1.795e-01	2.904e-02	1.847e-01	2.461e-02	9.718e-01
NEST:9	5.520e-01	3.533e-13	4.700e-01	1.679e-09	1.175e+00
NEST:30	3.364e-01	2.907e-05	3.244e-01	5.761e-05	1.037e+00
NEST:79	3.061e-01	1.547e-04	4.126e-01	1.874e-07	7.418e-01
NEST:98	2.401e-01	3.285e-03	1.966e-01	1.662e-02	1.221e+00
NEST:5	3.970e-01	5.863e-07	4.418e-01	1.895e-08	8.986e-01
NEST:108	1.761e-01	3.229e-02	3.114e-01	1.172e-04	5.656e-01
NEST:102	4.355e-01	3.178e-08	4.393e-01	2.325e-08	9.912e-01
NEST:110	4.456e-01	1.387e-08	4.181e-01	1.238e-07	1.066e+00
NEST:107	4.112e-01	2.081e-07	3.446e-01	1.799e-05	1.193e+00
NEST:53	4.287e-01	5.462e-08	4.677e-01	2.053e-09	9.165e-01
NEST:65	5.177e-01	1.605e-11	2.486e-01	2.312e-03	2.082e+00
NEST:91	4.927e-01	2.003e-10	2.298e-01	4.968e-03	2.144e+00
NEST:8	5.887e-01	3.581e-15	6.070e-01	2.910e-16	9.699e-01
NEST:130	1.893e-01	2.117e-02	2.508e-01	2.105e-03	7.548e-01
NEST:38	5.972e-01	1.136e-15	4.041e-01	3.513e-07	1.478e+00
NEST:121	1.356e-01	1.004e-01	1.557e-01	5.885e-02	8.708e-01
NEST:119	2.472e-01	2.456e-03	2.672e-01	1.029e-03	9.252e-01
NEST:18	5.171e-01	1.716e-11	3.900e-01	9.597e-07	1.326e+00
NEST:25	3.819e-01	1.671e-06	8.040e-02	3.314e-01	4.750e+00
NEST:12	4.823e-01	5.404e-10	5.111e-01	3.195e-11	9.437e-01
NEST:60	3.859e-01	1.277e-06	4.207e-01	1.018e-07	9.172e-01
NEST:104	5.469e-01	6.428e-13	4.770e-01	8.830e-10	1.146e+00
NEST:2	6.756e-01	4.555e-21	6.603e-01	6.853e-20	1.023e+00
NEST:14	3.624e-01	6.012e-06	3.372e-01	2.782e-05	1.075e+00
NEST:174	3.056e-01	1.590e-04	2.978e-01	2.370e-04	1.026e+00
NEST:17	4.045e-01	3.429e-07	3.582e-01	7.828e-06	1.129e+00
NEST:19	3.511e-01	1.216e-05	3.666e-01	4.578e-06	9.575e-01
NEST:22	-6.800e-03	9.346e-01	6.159e-02	4.571e-01	-1.104e-01
NEST:20	3.405e-01	2.291e-05	3.823e-01	1.624e-06	8.906e-01
NEST:26	2.839e-01	4.720e-04	2.918e-01	3.204e-04	9.728e-01
NEST:23	3.268e-01	5.045e-05	4.199e-01	1.078e-07	7.782e-01
NEST:36	4.287e-02	6.049e-01	1.836e-03	9.823e-01	2.335e+01
NEST:16	1.895e-01	2.109e-02	2.237e-01	6.274e-03	8.470e-01
NEST:29	1.756e-01	3.276e-02	9.394e-02	2.561e-01	1.870e+00
NEST:31	2.150e-01	8.683e-03	2.649e-01	1.137e-03	8.115e-01
NEST:34	5.883e-01	3.771e-15	4.930e-01	1.942e-10	1.193e+00
NEST:40	3.293e-01	4.384e-05	3.567e-01	8.613e-06	9.232e-01
NEST:44	1.133e-01	1.704e-01	8.313e-02	3.152e-01	1.363e+00
NEST:49	1.231e-01	1.361e-01	1.163e-01	1.594e-01	1.059e+00
NEST:66	4.388e-01	2.422e-08	4.731e-01	1.263e-09	9.275e-01
NEST:45	5.484e-02	5.080e-01	1.361e-01	9.896e-02	4.028e-01
NEST:69	1.086e-01	1.887e-01	9.653e-02	2.432e-01	1.125e+00
NEST:137	3.257e-01	5.357e-05	3.109e-01	1.198e-04	1.047e+00
NEST:145	1.888e-01	2.158e-02	2.894e-01	3.612e-04	6.524e-01
NEST:138	1.958e-01	1.709e-02	4.973e-02	5.484e-01	3.937e+00
NEST:168	3.708e-01	3.497e-06	2.280e-01	5.327e-03	1.627e+00
NEST:169	2.567e-01	1.635e-03	1.693e-01	3.965e-02	1.516e+00
NEST:127	2.467e-01	2.503e-03	1.939e-01	1.821e-02	1.272e+00
NEST:212	4.986e-01	1.123e-10	4.913e-01	2.304e-10	1.015e+00
NEST:170	3.063e-01	1.532e-04	3.214e-01	6.797e-05	9.529e-01
NEST:105	1.603e-01	5.167e-02	9.489e-02	2.513e-01	1.689e+00
NEST:77	1.766e-03	9.830e-01	1.032e-01	2.121e-01	1.712e-02
NEST:254	2.210e-01	6.944e-03	1.926e-01	1.900e-02	1.147e+00
NEST:52	3.558e-01	9.087e-06	2.713e-01	8.510e-04	1.311e+00
NEST:81	1.497e-01	6.944e-02	1.327e-01	1.078e-01	1.128e+00
NEST:146	2.488e-01	2.296e-03	2.415e-01	3.106e-03	1.030e+00
NEST:129	8.048e-02	3.309e-01	1.330e-01	1.070e-01	6.049e-01
NEST:112	3.523e-01	1.127e-05	1.256e-01	1.283e-01	2.805e+00
NEST:117	3.080e-01	1.397e-04	3.549e-01	9.627e-06	8.680e-01
NEST:123	3.091e-01	1.324e-04	2.633e-01	1.223e-03	1.174e+00
NEST:126	2.898e-01	3.526e-04	1.138e-01	1.686e-01	2.548e+00
NEST:133	1.173e-01	1.558e-01	2.465e-01	2.529e-03	4.758e-01
NEST:155	2.956e-01	2.644e-04	2.475e-01	2.423e-03	1.194e+00
NEST:177	2.326e-01	4.449e-03	2.551e-01	1.755e-03	9.117e-01
NEST:85	3.395e-01	2.436e-05	2.629e-01	1.247e-03	1.291e+00
NEST:150	4.154e-01	1.525e-07	3.089e-01	1.333e-04	1.345e+00
NEST:90	1.240e-01	1.333e-01	1.321e-01	1.094e-01	9.383e-01
NEST:61	3.555e-01	9.228e-06	2.817e-01	5.244e-04	1.262e+00
NEST:210	2.282e-01	5.284e-03	2.159e-01	8.389e-03	1.057e+00
NEST:55	4.375e-01	2.706e-08	2.903e-01	3.449e-04	1.507e+00
NEST:142	1.327e-01	1.079e-01	2.943e-02	7.225e-01	4.508e+00
NEST:153	3.280e-01	4.699e-05	4.003e-01	4.637e-07	8.195e-01
NEST:182	2.361e-01	3.869e-03	1.179e-01	1.534e-01	2.002e+00
NEST:221	2.941e-01	2.856e-04	2.378e-01	3.604e-03	1.236e+00
NEST:239	2.054e-01	1.225e-02	1.060e-01	1.998e-01	1.938e+00
NEST:132	2.444e-01	2.758e-03	1.699e-01	3.900e-02	1.439e+00
NEST:89	2.214e-01	6.834e-03	2.638e-01	1.199e-03	8.396e-01
NEST:195	2.625e-01	1.266e-03	3.362e-01	2.951e-05	7.810e-01
NEST:21	3.301e-01	4.190e-05	3.106e-01	1.218e-04	1.063e+00
NEST:70	9.475e-02	2.520e-01	2.178e-01	7.840e-03	4.351e-01
NEST:13	3.895e-01	9.913e-07	4.010e-01	4.407e-07	9.714e-01
NEST:256	2.328e-01	4.408e-03	2.727e-01	7.997e-04	8.538e-01
NEST:33	2.445e-01	2.749e-03	2.586e-01	1.506e-03	9.454e-01
NEST:47	4.043e-01	3.467e-07	3.391e-01	2.486e-05	1.192e+00
NEST:48	2.894e-01	3.602e-04	3.754e-01	2.578e-06	7.709e-01
NEST:63	2.531e-01	1.914e-03	2.855e-01	4.367e-04	8.865e-01
NEST:84	2.573e-01	1.594e-03	2.958e-01	2.625e-04	8.699e-01
NEST:202	1.627e-01	4.823e-02	1.633e-01	4.729e-02	9.958e-01
NEST:43	-3.286e-02	6.917e-01	8.124e-02	3.263e-01	-4.045e-01
NEST:51	2.262e-01	5.708e-03	3.350e-01	3.155e-05	6.751e-01
NEST:57	3.294e-01	4.355e-05	3.848e-02	6.424e-01	8.561e+00
NEST:82	4.141e-01	1.676e-07	3.840e-01	1.446e-06	1.078e+00
NEST:83	3.896e-01	9.862e-07	1.891e-01	2.136e-02	2.061e+00
NEST:165	1.599e-01	5.224e-02	3.209e-01	7.004e-05	4.983e-01
NEST:186	1.088e-01	1.883e-01	4.745e-02	5.669e-01	2.292e+00
NEST:193	1.028e-01	2.136e-01	2.435e-01	2.860e-03	4.223e-01
NEST:199	2.748e-01	7.258e-04	1.930e-01	1.875e-02	1.423e+00
NEST:293	2.353e-01	3.987e-03	2.336e-01	4.266e-03	1.007e+00
NEST:94	2.397e-01	3.348e-03	2.066e-01	1.177e-02	1.160e+00
NEST:97	2.151e-01	8.653e-03	1.550e-01	5.996e-02	1.388e+00
NEST:27	7.229e-02	3.826e-01	7.377e-02	3.729e-01	9.799e-01
NEST:158	5.820e-02	4.823e-01	2.174e-01	7.946e-03	2.677e-01
NEST:134	7.403e-02	3.712e-01	1.397e-01	9.026e-02	5.297e-01
NEST:42	3.270e-01	4.976e-05	3.425e-01	2.039e-05	9.549e-01
NEST:93	6.094e-02	4.619e-01	1.593e-01	5.313e-02	3.826e-01
NEST:35	2.937e-01	2.914e-04	3.706e-01	3.552e-06	7.925e-01
NEST:39	6.762e-02	4.142e-01	8.142e-02	3.253e-01	8.305e-01
NEST:11	1.430e-01	8.300e-02	3.344e-01	3.275e-05	4.276e-01
NEST:78	1.771e-01	3.125e-02	1.254e-01	1.287e-01	1.412e+00
NEST:24	6.342e-02	4.438e-01	1.179e-01	1.537e-01	5.381e-01
NEST:196	1.777e-01	3.073e-02	2.018e-01	1.393e-02	8.807e-01
NEST:163	3.677e-01	4.271e-06	3.714e-01	3.368e-06	9.901e-01
NEST:54	2.531e-01	1.907e-03	2.597e-01	1.438e-03	9.750e-01
NEST:277	3.158e-01	9.242e-05	2.605e-01	1.386e-03	1.212e+00
NEST:59	1.256e-01	1.284e-01	2.050e-01	1.244e-02	6.125e-01
NEST:125	2.169e-01	8.101e-03	3.212e-01	6.874e-05	6.752e-01
NEST:231	1.962e-01	1.683e-02	2.671e-01	1.034e-03	7.348e-01
NEST:80	9.407e-02	2.554e-01	1.095e-01	1.854e-01	8.594e-01
NEST	1.000e+00	0.000e+00	9.809e-01	2.470e-116	1.019e+00
NEST:6	7.003e-01	2.379e-25	6.282e-01	2.800e-19	1.115e+00
NEST:58	5.668e-01	3.090e-15	5.691e-01	2.268e-15	9.960e-01
NEST:73	4.500e-01	1.674e-09	4.448e-01	2.704e-09	1.012e+00
NEST:3	8.589e-01	1.196e-48	8.438e-01	2.214e-45	1.018e+00
NEST:32	5.019e-01	8.784e-12	3.143e-01	4.392e-05	1.597e+00
NEST:4	8.012e-01	9.567e-38	7.397e-01	1.702e-29	1.083e+00
NEST:1	8.889e-01	1.802e-56	8.139e-01	8.367e-40	1.092e+00
NEST:7	4.484e-01	1.944e-09	4.284e-01	1.165e-08	1.047e+00
NEST:50	6.745e-01	5.613e-23	6.944e-01	8.817e-25	9.714e-01
NEST:15	6.959e-01	6.350e-25	6.654e-01	3.357e-22	1.046e+00
NEST:10	5.880e-01	1.549e-16	6.460e-01	1.261e-20	9.102e-01
NEST:92	2.464e-01	1.523e-03	2.600e-01	8.024e-04	9.475e-01
NEST:9	5.770e-01	7.524e-16	5.623e-01	5.656e-15	1.026e+00
NEST:30	3.986e-01	1.366e-07	4.453e-01	2.582e-09	8.951e-01
NEST:79	3.035e-01	8.217e-05	4.131e-01	4.254e-08	7.347e-01
NEST:98	2.142e-01	6.036e-03	2.148e-01	5.901e-03	9.974e-01
NEST:5	3.811e-01	5.210e-07	3.982e-01	1.412e-07	9.571e-01
NEST:108	2.085e-01	7.565e-03	3.392e-01	9.461e-06	6.147e-01
NEST:102	4.984e-01	1.291e-11	5.021e-01	8.540e-12	9.925e-01
NEST:110	5.145e-01	2.138e-12	5.002e-01	1.060e-11	1.029e+00
NEST:107	3.707e-01	1.113e-06	3.199e-01	3.153e-05	1.159e+00
NEST:53	3.880e-01	3.102e-07	3.448e-01	6.587e-06	1.125e+00
NEST:65	6.285e-01	2.657e-19	3.333e-01	1.379e-05	1.886e+00
NEST:91	6.075e-01	8.136e-18	4.550e-01	1.046e-09	1.335e+00
NEST:8	5.593e-01	8.527e-15	5.119e-01	2.883e-12	1.093e+00
NEST:130	2.601e-01	7.980e-04	2.877e-01	1.964e-04	9.042e-01
NEST:38	5.882e-01	1.515e-16	4.482e-01	1.983e-09	1.312e+00
NEST:121	1.437e-01	6.729e-02	1.442e-01	6.638e-02	9.967e-01
NEST:119	3.938e-01	1.985e-07	3.927e-01	2.163e-07	1.003e+00
NEST:18	5.470e-01	4.227e-14	2.959e-01	1.254e-04	1.848e+00
NEST:25	3.353e-01	1.213e-05	5.546e-02	4.820e-01	6.046e+00
NEST:12	4.968e-01	1.537e-11	4.114e-01	4.902e-08	1.208e+00
NEST:60	3.266e-01	2.095e-05	3.780e-01	6.533e-07	8.639e-01
NEST:104	4.305e-01	9.732e-09	4.265e-01	1.369e-08	1.009e+00
NEST:2	7.079e-01	4.277e-26	6.725e-01	8.366e-23	1.053e+00
NEST:14	3.579e-01	2.718e-06	3.437e-01	7.045e-06	1.041e+00
NEST:174	3.855e-01	3.752e-07	3.146e-01	4.317e-05	1.225e+00
NEST:17	3.762e-01	7.469e-07	3.486e-01	5.122e-06	1.079e+00
NEST:19	2.823e-01	2.619e-04	3.429e-01	7.413e-06	8.230e-01
NEST:22	8.482e-02	2.817e-01	1.735e-01	2.675e-02	4.888e-01
NEST:20	1.210e-01	1.240e-01	1.971e-01	1.169e-02	6.138e-01
NEST:26	2.669e-01	5.729e-04	-6.580e-02	4.040e-01	-4.056e+00
NEST:23	2.769e-01	3.467e-04	2.934e-01	1.440e-04	9.436e-01
NEST:36	1.314e-01	9.463e-02	1.903e-01	1.494e-02	6.901e-01
NEST:16	1.767e-01	2.406e-02	3.205e-01	3.028e-05	5.512e-01
NEST:29	-3.494e-02	6.580e-01	1.822e-01	1.995e-02	-1.918e-01
NEST:31	1.240e-01	1.149e-01	1.557e-01	4.717e-02	7.961e-01
NEST:34	5.872e-01	1.750e-16	4.414e-01	3.688e-09	1.330e+00
NEST:40	2.138e-01	6.146e-03	2.515e-01	1.204e-03	8.501e-01
NEST:44	1.628e-01	3.789e-02	1.499e-01	5.618e-02	1.086e+00
NEST:49	1.917e-02	8.081e-01	7.024e-04	9.929e-01	2.730e+01
NEST:66	4.490e-01	1.840e-09	4.929e-01	2.330e-11	9.109e-01
NEST:45	1.613e-01	3.970e-02	1.703e-01	2.973e-02	9.470e-01
NEST:69	1.700e-01	3.004e-02	1.073e-01	1.727e-01	1.584e+00
NEST:137	3.633e-01	1.868e-06	3.546e-01	3.405e-06	1.025e+00
NEST:145	3.165e-01	3.854e-05	3.414e-01	8.225e-06	9.272e-01
NEST:138	1.575e-01	4.464e-02	1.800e-01	2.148e-02	8.750e-01
NEST:168	4.813e-01	7.873e-11	3.245e-01	2.373e-05	1.483e+00
NEST:169	7.829e-03	9.210e-01	5.708e-02	4.692e-01	1.372e-01
NEST:127	1.738e-01	2.650e-02	-1.213e-01	1.229e-01	-1.432e+00
NEST:212	4.064e-01	7.346e-08	3.624e-01	1.990e-06	1.121e+00
NEST:170	1.946e-01	1.283e-02	1.958e-01	1.226e-02	9.937e-01
NEST:105	1.529e-01	5.142e-02	1.445e-01	6.577e-02	1.058e+00
NEST:77	9.851e-02	2.109e-01	1.382e-01	7.845e-02	7.126e-01
NEST:254	2.864e-01	2.102e-04	7.983e-02	3.111e-01	3.588e+00
NEST:52	4.114e-01	4.898e-08	4.102e-01	5.369e-08	1.003e+00
NEST:81	3.162e-01	3.924e-05	2.960e-01	1.251e-04	1.068e+00
NEST:146	2.304e-01	3.090e-03	2.331e-01	2.754e-03	9.885e-01
NEST:129	2.259e-01	3.742e-03	3.261e-01	2.161e-05	6.927e-01
NEST:112	3.784e-01	6.330e-07	3.126e-01	4.867e-05	1.211e+00
NEST:117	2.791e-01	3.094e-04	2.611e-01	7.627e-04	1.069e+00
NEST:123	2.046e-01	8.807e-03	1.992e-01	1.079e-02	1.027e+00
NEST:126	2.922e-01	1.535e-04	4.108e-02	6.026e-01	7.115e+00
NEST:133	5.260e-02	5.049e-01	2.464e-01	1.520e-03	2.135e-01
NEST:155	2.370e-01	2.316e-03	3.270e-01	2.034e-05	7.247e-01
NEST:177	3.144e-01	4.361e-05	3.125e-01	4.887e-05	1.006e+00
NEST:85	3.522e-01	4.015e-06	2.136e-01	6.189e-03	1.649e+00
NEST:150	4.658e-01	3.702e-10	4.877e-01	4.050e-11	9.552e-01
NEST:90	1.752e-01	2.530e-02	1.998e-01	1.057e-02	8.770e-01
NEST:61	3.438e-01	7.022e-06	1.816e-01	2.032e-02	1.893e+00
NEST:210	1.414e-01	7.187e-02	3.444e-01	6.755e-06	4.105e-01
NEST:55	4.598e-01	6.617e-10	3.875e-01	3.215e-07	1.187e+00
NEST:142	2.085e-01	7.553e-03	6.427e-02	4.150e-01	3.245e+00
NEST:153	3.139e-01	4.493e-05	1.497e-01	5.650e-02	2.097e+00
NEST:182	7.515e-02	3.404e-01	5.287e-02	5.027e-01	1.421e+00
NEST:221	2.230e-01	4.218e-03	2.279e-01	3.433e-03	9.785e-01
NEST:239	5.784e-02	4.633e-01	8.109e-02	3.035e-01	7.133e-01
NEST:132	2.551e-01	1.015e-03	2.131e-01	6.316e-03	1.197e+00
NEST:89	2.457e-01	1.569e-03	1.035e-01	1.886e-01	2.374e+00
NEST:195	2.073e-01	7.933e-03	3.033e-01	8.286e-05	6.834e-01
NEST:21	2.949e-01	1.329e-04	2.354e-01	2.487e-03	1.253e+00
NEST:70	-7.350e-02	3.511e-01	2.180e-01	5.174e-03	-3.371e-01
NEST:13	3.834e-01	4.377e-07	2.648e-01	6.365e-04	1.448e+00
NEST:256	1.718e-01	2.833e-02	1.582e-01	4.370e-02	1.086e+00
NEST:33	2.183e-01	5.121e-03	2.187e-01	5.030e-03	9.980e-01
NEST:47	3.885e-01	2.970e-07	3.041e-01	7.940e-05	1.278e+00
NEST:48	2.748e-01	3.849e-04	2.817e-01	2.694e-04	9.755e-01
NEST:63	1.880e-01	1.624e-02	2.912e-01	1.628e-04	6.457e-01
NEST:84	3.236e-01	2.517e-05	1.113e-01	1.573e-01	2.908e+00
NEST:202	1.223e-01	1.199e-01	5.654e-02	4.734e-01	2.163e+00
NEST:43	1.067e-01	1.753e-01	1.574e-01	4.481e-02	6.779e-01
NEST:51	1.390e-01	7.687e-02	1.504e-01	5.525e-02	9.237e-01
NEST:57	2.480e-01	1.411e-03	1.843e-01	1.850e-02	1.346e+00
NEST:82	4.681e-01	2.948e-10	3.936e-01	2.008e-07	1.189e+00
NEST:83	4.322e-01	8.340e-09	2.626e-01	7.088e-04	1.646e+00
NEST:165	2.311e-01	2.993e-03	3.131e-01	4.726e-05	7.383e-01
NEST:186	1.689e-01	3.109e-02	3.086e-02	6.958e-01	5.475e+00
NEST:193	1.350e-01	8.580e-02	2.198e-01	4.821e-03	6.142e-01
NEST:199	3.554e-01	3.228e-06	2.953e-01	1.300e-04	1.204e+00
NEST:293	3.391e-01	9.508e-06	3.381e-01	1.012e-05	1.003e+00
NEST:94	2.494e-01	1.324e-03	2.290e-01	3.281e-03	1.089e+00
NEST:97	2.070e-01	8.013e-03	2.167e-01	5.467e-03	9.554e-01
NEST:27	1.410e-01	7.265e-02	1.487e-01	5.812e-02	9.479e-01
NEST:158	1.085e-01	1.680e-01	7.760e-02	3.248e-01	1.398e+00
NEST:134	1.396e-01	7.544e-02	1.976e-01	1.147e-02	7.068e-01
NEST:42	1.961e-01	1.214e-02	2.688e-01	5.223e-04	7.294e-01
NEST:93	1.315e-01	9.418e-02	1.367e-01	8.194e-02	9.625e-01
NEST:35	2.823e-01	2.611e-04	2.889e-01	1.839e-04	9.772e-01
NEST:39	1.543e-01	4.926e-02	1.637e-01	3.684e-02	9.427e-01
NEST:11	-1.825e-01	1.972e-02	3.617e-01	2.090e-06	-5.045e-01
NEST:78	1.488e-01	5.797e-02	2.186e-01	5.064e-03	6.809e-01
NEST:24	1.326e-01	9.148e-02	2.591e-01	8.377e-04	5.118e-01
NEST:196	1.543e-01	4.918e-02	2.423e-01	1.834e-03	6.370e-01
NEST:163	7.222e-02	3.596e-01	1.743e-01	2.607e-02	4.144e-01
NEST:54	5.427e-02	4.914e-01	5.431e-02	4.911e-01	9.993e-01
NEST:277	2.595e-01	8.219e-04	3.360e-01	1.163e-05	7.725e-01
NEST:59	1.968e-01	1.179e-02	2.868e-01	2.061e-04	6.864e-01
NEST:125	2.047e-01	8.773e-03	2.673e-01	5.629e-04	7.658e-01
NEST:231	1.540e-01	4.972e-02	2.702e-01	4.851e-04	5.698e-01
NEST:80	-6.044e-02	4.434e-01	3.957e-02	6.160e-01	-1.527e+00
NEST	1.000e+00	0.000e+00	9.811e-01	1.445e-94	1.019e+00
NEST:6	6.728e-01	1.002e-18	6.032e-01	1.953e-14	1.115e+00
NEST:58	4.923e-01	2.026e-09	4.870e-01	3.197e-09	1.011e+00
NEST:73	3.558e-01	2.823e-05	3.755e-01	9.163e-06	9.477e-01
NEST:3	8.789e-01	1.298e-43	8.477e-01	1.327e-37	1.037e+00
NEST:32	3.799e-01	7.026e-06	3.837e-01	5.584e-06	9.901e-01
NEST:4	7.418e-01	2.590e-24	7.340e-01	1.342e-23	1.011e+00
NEST:1	8.905e-01	2.769e-46	8.165e-01	8.168e-33	1.091e+00
NEST:7	5.016e-01	8.957e-10	4.675e-01	1.596e-08	1.073e+00
NEST:50	6.748e-01	7.223e-19	6.722e-01	1.098e-18	1.004e+00
NEST:15	7.275e-01	5.121e-23	6.851e-01	1.317e-19	1.062e+00
NEST:10	4.883e-01	2.872e-09	5.338e-01	4.389e-11	9.147e-01
NEST:92	2.101e-01	1.560e-02	1.719e-01	4.873e-02	1.222e+00
NEST:9	5.302e-01	6.207e-11	5.588e-01	3.315e-12	9.488e-01
NEST:30	4.415e-01	1.163e-07	5.043e-01	7.049e-10	8.755e-01
NEST:79	3.979e-01	2.303e-06	4.164e-01	6.836e-07	9.556e-01
NEST:98	2.149e-01	1.334e-02	1.452e-01	9.663e-02	1.480e+00
NEST:5	3.904e-01	3.688e-06	3.684e-01	1.385e-05	1.060e+00
NEST:108	3.262e-01	1.348e-04	3.713e-01	1.169e-05	8.786e-01
NEST:102	4.638e-01	2.134e-08	4.768e-01	7.511e-09	9.728e-01
NEST:110	4.748e-01	8.799e-09	4.698e-01	1.328e-08	1.011e+00
NEST:107	4.164e-01	6.853e-07	3.880e-01	4.300e-06	1.073e+00
NEST:53	3.657e-01	1.614e-05	3.616e-01	2.048e-05	1.012e+00
NEST:65	5.323e-01	5.094e-11	3.016e-01	4.406e-04	1.765e+00
NEST:91	4.956e-01	1.517e-09	3.082e-01	3.240e-04	1.608e+00
NEST:8	4.968e-01	1.372e-09	5.232e-01	1.229e-10	9.496e-01
NEST:130	3.476e-01	4.436e-05	3.997e-01	2.054e-06	8.696e-01
NEST:38	5.454e-01	1.356e-11	4.490e-01	6.683e-08	1.215e+00
NEST:121	9.759e-02	2.656e-01	5.677e-02	5.179e-01	1.719e+00
NEST:119	2.432e-01	4.961e-03	2.961e-01	5.668e-04	8.213e-01
NEST:18	4.501e-01	6.128e-08	3.611e-01	2.107e-05	1.247e+00
NEST:25	2.554e-01	3.126e-03	2.609e-01	2.513e-03	9.787e-01
NEST:12	5.303e-01	6.198e-11	5.090e-01	4.592e-10	1.042e+00
NEST:60	3.201e-01	1.829e-04	2.868e-01	8.543e-04	1.116e+00
NEST:104	3.659e-01	1.602e-05	3.348e-01	8.702e-05	1.093e+00
NEST:2	6.181e-01	2.886e-15	6.400e-01	1.437e-16	9.658e-01
NEST:14	2.678e-01	1.909e-03	3.105e-01	2.902e-04	8.623e-01
NEST:174	2.351e-01	6.651e-03	2.154e-01	1.314e-02	1.092e+00
